01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9107
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8534
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8879
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8535
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9108
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8880
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9109
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8536
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8881
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8537
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9110
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8882
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9111
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8538
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8883
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8539
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9112
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8884
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9113
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8540
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8885
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8541
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9114
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8886
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9115
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8542
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8887
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8543
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9116
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8888
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8544
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8889
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8890
01:15:06.694 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8545
01:15:06.694 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9117
01:15:06.694 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8891
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8892
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8893
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8546
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9118
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8894
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8895
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9119
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8547
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8896
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8897
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8548
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9120
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8898
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8899
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8900
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8549
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9121
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8901
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8550
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9122
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8902
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9123
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8551
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8903
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8552
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9124
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8904
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9125
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8553
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8905
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8554
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9126
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8906
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9127
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8555
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8907
01:15:06.695 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8556
01:15:06.695 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9128
01:15:06.695 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8908
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9129
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8557
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8909
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8558
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9130
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8910
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9131
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8559
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8911
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8560
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9132
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8912
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9133
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8561
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8913
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8562
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9134
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8914
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9135
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8563
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8915
01:15:06.696 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8564
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9136
01:15:06.696 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8916
01:15:06.696 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9137
