01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9342
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9123
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9343
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8771
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9124
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8772
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9344
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9125
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9345
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8773
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9126
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8774
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9346
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9127
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9347
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8775
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9128
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8776
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9348
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9129
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9349
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8777
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9130
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8778
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9350
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9131
01:15:06.717 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9351
01:15:06.717 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8779
01:15:06.717 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9132
